,State,National LGA Name 2017,Crash ID,lat,lng
0,ACT,Unincorporated ACT,51,-34.9219062,138.5961877
1,NSW,Albury,5,-36.0751193,146.9094852
2,NSW,Armidale Regional,12,-30.5035714,151.6523371
3,NSW,Ballina,12,-28.8627985,153.5658162
4,NSW,Balranald,5,-34.6394376,143.5629137
5,NSW,Bathurst Regional,25,-33.4111925,149.5786977
6,NSW,Bayside,23,-33.9581033,151.1985879
7,NSW,Bega Valley,18,-36.6806101,149.6564494
8,NSW,Bellingen,19,-30.4521493,152.8970631
9,NSW,Berrigan,4,-35.657423,145.8116744
10,NSW,Blacktown,46,-33.7660982,150.9126927
11,NSW,Bland,11,-33.9947581,147.6836448
12,NSW,Blayney,5,-33.53061539999999,149.2555693
13,NSW,Blue Mountains,9,-33.409983,150.3037323
14,NSW,Bogan,6,-31.6879664,146.741207
15,NSW,Bourke,2,-30.0888375,145.9377648
16,NSW,Brewarrina,3,-29.96247,146.8611294
17,NSW,Broken Hill,1,-31.9595859,141.4608138
18,NSW,Burwood,4,-33.8773941,151.1036621
19,NSW,Byron,11,-28.6533749,153.5334025
20,NSW,Cabonne,16,-33.1753246,148.8289611
21,NSW,Camden,11,-34.0659551,150.6935958
22,NSW,Campbelltown,19,-34.0666148,150.8195571
23,NSW,Canada Bay,8,-33.866234,151.1153528
24,NSW,Canterbury-Bankstown,45,-33.9164305,151.0354914
25,NSW,Carrathool,5,-34.4085281,145.4339876
26,NSW,Central Coast,87,-33.2319648,151.21729
27,NSW,Central Darling,3,-32.2715998,143.045893
28,NSW,Cessnock,23,-32.8321587,151.3558797
29,NSW,Clarence Valley,52,-29.878388,152.6383524
30,NSW,Cobar,3,-31.497762,145.8362994
31,NSW,Coffs Harbour,20,-30.2962013,153.1138924
32,NSW,Coolamon,5,-34.8168603,147.2007739
33,NSW,Coonamble,1,-30.954253,148.3884139
34,NSW,Cootamundra-Gundagai,17,-34.6394159,148.0258033
35,NSW,Cowra,11,-33.8346839,148.6911799
36,NSW,Cumberland,33,-33.8890304,151.2016178
37,NSW,Dubbo Regional,43,-32.2443908,148.614418
38,NSW,Dungog,5,-32.3998381,151.757979
39,NSW,Edward River,5,-35.2599445,144.4336724
40,NSW,Eurobodalla,25,-35.8894726,149.9334764
41,NSW,Fairfield,45,-33.8705856,150.9564102
42,NSW,Federation,13,-35.6002115,146.2929381
43,NSW,Forbes,7,-33.3844596,148.0080975
44,NSW,Georges River,19,-34.0494645,150.8953368
45,NSW,Gilgandra,8,-31.7109549,148.6576911
46,NSW,Glen Innes Severn,11,-29.70819059999999,151.8877321
47,NSW,Goulburn Mulwaree,22,-34.8812017,149.7487272
48,NSW,Greater Hume,18,-35.7236611,147.1915504
49,NSW,Griffith,10,-34.2886639,146.0323982
50,NSW,Gunnedah,7,-30.97943189999999,150.2565037
51,NSW,Gwydir,3,-29.6316325,150.4892292
52,NSW,Hawkesbury,31,-33.2262828,150.8609358
53,NSW,Hay,4,-34.5042009,144.8444508
54,NSW,Hilltops,19,-34.3613068,148.4629997
55,NSW,Hornsby,24,-33.7046328,151.0987055
56,NSW,Hunters Hill,3,-33.8337,151.14366
57,NSW,Inner West,17,-33.8924403,151.1438073
58,NSW,Inverell,14,-29.7739244,151.1114386
59,NSW,Junee,10,-34.8689219,147.5833258
60,NSW,Kempsey,19,-31.0804831,152.8418039
61,NSW,Kiama,5,-34.669198,150.8528343
62,NSW,Ku-ring-gai,11,-33.7416052,151.1519716
63,NSW,Kyogle,12,-28.6253894,153.0025814
64,NSW,Lachlan,7,-32.7625409,147.1013188
65,NSW,Lake Macquarie,58,-33.0311225,151.5603244
66,NSW,Lane Cove,5,-33.8146357,151.1699091
67,NSW,Leeton,5,-34.5517791,146.4055582
68,NSW,Lismore,18,-28.80943079999999,153.287891
69,NSW,Lithgow,11,-33.4827345,150.1570173
70,NSW,Liverpool,35,-33.9285567,150.9179595
71,NSW,Liverpool Plains,7,-31.6431494,150.4892292
72,NSW,Lockhart,1,-35.2214842,146.7187779
73,NSW,Maitland,14,-32.7315527,151.5525086
74,NSW,Mid-Coast,57,-32.0713929,151.8877321
75,NSW,Mid-Western Regional,23,-32.5018115,149.6564494
76,NSW,Moree Plains,11,-29.1737145,149.6564494
77,NSW,Murray River,6,-35.3860672,143.7443331
78,NSW,Murrumbidgee,6,-34.8033133,146.6147238
79,NSW,Muswellbrook,20,-32.2848467,150.9049638
80,NSW,Nambucca,19,-30.666463,152.7323884
81,NSW,Narrabri,17,-30.33240619999999,149.7812403
82,NSW,Narrandera,8,-34.73798240000001,146.557684
83,NSW,Narromine,17,-32.2327424,148.2394681
84,NSW,Newcastle,32,-32.9282712,151.7816802
85,NSW,North Sydney,9,-33.8368103,151.2072705
86,NSW,Northern Beaches,25,-33.6759923,151.2568777
87,NSW,Oberon,6,-33.716667,149.866667
88,NSW,Orange,9,-33.283333,149.1
89,NSW,Parkes,12,-33.1372943,148.1747161
90,NSW,Parramatta,45,-33.8135571,151.003407
91,NSW,Penrith,37,-33.7506759,150.687674
92,NSW,Port Macquarie-Hastings,33,-31.4703285,152.5443612
93,NSW,Port Stephens,40,-32.7171397,152.1048638
94,NSW,Queanbeyan-Palerang Regional,15,-35.3530392,149.230896
95,NSW,Randwick,15,-33.9131545,151.2420352
96,NSW,Richmond Valley,21,-29.0380672,153.1089658
97,NSW,Ryde,15,-33.8157466,151.1030164
98,NSW,Shellharbour,9,-34.583333,150.866667
99,NSW,Shoalhaven,59,-35.0810677,150.4892292
100,NSW,Singleton,38,-32.5694741,151.1788155
101,NSW,Snowy Monaro Regional,30,-36.4714389,148.9206295
102,NSW,Snowy Valleys,18,-35.6307418,148.1892921
103,NSW,Strathfield,8,-33.8774826,151.0823602
104,NSW,Sutherland,34,-34.0297415,151.059275
105,NSW,Sydney,36,-33.8688197,151.2092955
106,NSW,Tamworth Regional,38,-30.7938249,150.7679216
107,NSW,Temora,6,-34.4450316,147.5360981
108,NSW,Tenterfield,9,-29.0575678,152.0189859
109,NSW,The Hills,22,-33.6048582,150.9772841
110,NSW,Tweed,39,-28.3541283,153.3446649
111,NSW,Unincorporated,8,-30.5512963,141.6834275
112,NSW,Upper Hunter,10,-32.0224523,150.6749653
113,NSW,Upper Lachlan,14,-34.4586364,149.3800105
114,NSW,Uralla,6,-30.64148179999999,151.4915632
115,NSW,Wagga Wagga,22,-35.1081689,147.3598323
116,NSW,Walcha,11,-30.9852458,151.5932704
117,NSW,Walgett,5,-30.0267969,148.1231039
118,NSW,Warren,2,-31.7026474,147.8161713
119,NSW,Warrumbungle,20,-31.5224778,149.3800105
120,NSW,Waverley,8,-33.899693,151.2554202
121,NSW,Weddin,6,-33.8837358,147.9162555
122,NSW,Wentworth,10,-34.1084555,141.9175442
123,NSW,Willoughby,10,-33.8071041,151.199349
124,NSW,Wingecarribee,26,-34.5479968,150.3037323
125,NSW,Wollondilly,31,-34.1108401,150.4892292
126,NSW,Wollongong,43,-34.4248336,150.8931132
127,NSW,Woollahra,4,-33.8884318,151.2371772
128,NSW,Yass Valley,20,-34.9445333,148.8289611
129,NT,Alice Springs (T),17,-23.698042,133.8807471
130,NT,Barkly (R),23,-20.3331817,136.2091547
131,NT,Central Desert (R),13,-21.5235584,131.9196471
132,NT,Coomalie (S),3,-12.9906534,131.0394028
133,NT,Darwin (C),24,-12.4637333,130.8444446
134,NT,East Arnhem (R),8,-12.3724075,136.8182904
135,NT,Katherine (T),9,-14.4519683,132.2698623
136,NT,Litchfield (M),47,-13.205835,130.7161713
137,NT,MacDonnell (R),22,-24.798151,133.1747162
138,NT,Palmerston (C),10,-12.4794449,130.9845298
139,NT,Roper Gulf (R),25,-15.9920347,134.3992892
140,NT,Unincorporated NT,19,-12.9873064,131.441251
141,NT,Victoria Daly (R),19,-16.9304135,130.6346851
142,NT,Wagait (S),1,-12.4411878,130.7538671
143,NT,West Arnhem (R),17,-12.2569717,133.6575244
144,NT,West Daly (R),2,-16.9304135,130.6346851
145,Qld,Balonne (S),2,-28.4646073,148.1892921
146,Qld,Banana (S),5,-24.4714475,150.1283063
147,Qld,Barcaldine (R),1,-23.5559218,145.2882741
148,Qld,Barcoo (S),2,-25.0312277,142.3613378
149,Qld,Brisbane (C),68,-27.4704528,153.0260341
150,Qld,Bundaberg (R),51,-24.8665958,152.3480022
151,Qld,Burdekin (S),11,-19.5227151,147.4627259
152,Qld,Burke (S),1,-18.3918222,139.041312
153,Qld,Cairns (R),25,-16.9203476,145.7709529
154,Qld,Cassowary Coast (R),13,-17.9739318,146.382423
155,Qld,Central Highlands (R) (Qld),16,-24.0330493,148.7373634
156,Qld,Charters Towers (R),9,-19.2791209,146.7996188
157,Qld,Cloncurry (S),8,-20.7068535,140.5053246
158,Qld,Cook (S),9,-15.4758164,145.2470981
159,Qld,Douglas (S),2,-19.3212239,146.7581914
160,Qld,Etheridge (S),3,-18.2463244,143.7369154
161,Qld,Flinders (S) (Qld),1,-19.263021,146.814205
162,Qld,Fraser Coast (R),16,-25.4884782,152.7323884
163,Qld,Gladstone (R),17,-27.4919134,153.0203955
164,Qld,Gold Coast (C),55,-28.016667,153.4
165,Qld,Goondiwindi (R),6,-28.5424479,150.3012655
166,Qld,Gympie (R),38,-27.3410343,153.010869
167,Qld,Hinchinbrook (S),3,-18.3494796,146.3004554
168,Qld,Hope Vale (S),2,-15.2941987,145.1082367
169,Qld,Ipswich (C),18,-27.614614,152.7608421
170,Qld,Isaac (R),14,-22.8653384,149.3329303
171,Qld,Livingstone (S),9,-22.4378647,150.9540073
172,Qld,Lockhart River (S),1,-13.0443055,143.3950336
173,Qld,Lockyer Valley (R),12,-27.6278414,152.1688572
174,Qld,Logan (C),42,-27.640843,153.1075126
175,Qld,Longreach (R),2,-23.4403125,144.2506199
176,Qld,Mackay (R),19,-21.1424956,149.1821469
177,Qld,Maranoa (R),8,-26.5712075,148.0071922
178,Qld,Mareeba (S),17,-16.9973592,145.423065
179,Qld,McKinlay (S),3,-21.271675,141.289461
180,Qld,Moreton Bay (R),55,-27.5208812,153.1762366
181,Qld,Mornington (S),2,-20.7354176,139.4964503
182,Qld,Mount Isa (C),6,-20.7263741,139.4930154
183,Qld,Noosa (S),11,-26.3645433,152.9676695
184,Qld,North Burnett (R),14,-25.4195808,151.1403196
185,Qld,Northern Peninsula Area (R),2,-10.9806627,142.318772
186,Qld,Pormpuraaw (S),1,-14.8999292,141.6190745
187,Qld,Quilpie (S),1,-26.6139196,144.2664772
188,Qld,Redland (C),13,-27.5733214,153.3446649
189,Qld,Rockhampton (R),15,-23.3786203,150.5088889
190,Qld,Scenic Rim (R),23,-28.0946234,152.7323884
191,Qld,Somerset (R),22,-10.9418978,142.4460804
192,Qld,South Burnett (R),21,-26.4702146,151.6070583
193,Qld,Southern Downs (R),11,-28.2754304,151.9813913
194,Qld,Sunshine Coast (R),42,-26.65,153.066667
195,Qld,Tablelands (R),12,-24.2965467,150.9390495
196,Qld,Toowoomba (R),35,-27.5598212,151.9506696
197,Qld,Townsville (C),41,-19.2589635,146.8169483
198,Qld,Weipa (T),1,-12.6492936,141.8469901
199,Qld,Western Downs (R),19,-27.102417,150.2110752
200,Qld,Whitsunday (R),18,-20.1862425,148.7268546
201,Qld,Yarrabah (S),2,-16.9316466,145.8768075
202,SA,Adelaide (C),8,-34.9284989,138.6007456
203,SA,Adelaide Hills (DC),28,-34.9062557,138.8397403
204,SA,Alexandrina (DC),26,-35.3590795,138.9605972
205,SA,Anangu Pitjantjatjara (AC),7,-26.1508962,131.1466585
206,SA,Barossa (DC),28,-34.5333333,138.95
207,SA,Barunga West (DC),2,-33.787164,138.0010282
208,SA,Berri and Barmera (DC),5,-34.2170642,140.4721736
209,SA,Burnside (C),5,-34.9377936,138.6690795
210,SA,Campbelltown (C) (SA),4,-34.8818693,138.6689697
211,SA,Ceduna (DC),4,-32.1260393,133.6763208
212,SA,Charles Sturt (C),25,-34.8971458,138.5287267
213,SA,Clare and Gilbert Valleys (DC),10,-33.9674479,138.7995122
214,SA,Cleve (DC),1,-33.7432238,136.3624686
215,SA,Coober Pedy (DC),1,-29.013516,134.7544219
216,SA,Copper Coast (DC),4,-34.0020113,137.7243139
217,SA,Elliston (DC),1,-33.6237993,135.4498065
218,SA,Flinders Ranges (DC),1,-31.4166667,138.75
219,SA,Franklin Harbour (DC),4,-33.4690808,136.9028375
220,SA,Gawler (T),5,-41.1814376,146.1607874
221,SA,Goyder (DC),9,-33.6511494,139.1221414
222,SA,Grant (DC),8,-37.95518149999999,140.7091777
223,SA,Holdfast Bay (C),5,-35.0002821,138.5237246
224,SA,Kangaroo Island (DC),8,-35.7752426,137.2142417
225,SA,Karoonda East Murray (DC),2,-34.9322176,140.1009527
226,SA,Kimba (DC),1,-33.1385793,136.4188723
227,SA,Kingston (DC) (SA),5,-36.831287,139.850794
228,SA,Light (RegC),22,-34.3907293,138.8397403
229,SA,Lower Eyre Peninsula (DC),4,-34.4458132,135.5251982
230,SA,Loxton Waikerie (DC),18,-34.3998643,140.265662
231,SA,Mallala (DC),14,-34.4471534,138.4387577
232,SA,Marion (C),16,-35.0091223,138.5551196
233,SA,Mid Murray (DC),17,-34.3761334,139.4466005
234,SA,Mitcham (C),10,-34.9794721,138.6234569
235,SA,Mount Barker (DC),14,-35.0731986,138.8575836
236,SA,Mount Gambier (C),2,-37.8284406,140.7806761
237,SA,Mount Remarkable (DC),6,-32.7735377,138.2393528
238,SA,Murray Bridge (RC),18,-35.124329,139.256227
239,SA,Naracoorte and Lucindale (DC),15,-36.9349271,140.5135589
240,SA,Northern Areas (DC),3,-33.243118,138.4787258
241,SA,Norwood Payneham St Peters (C),6,-34.9086219,138.6338758
242,SA,Onkaparinga (C),32,-35.139874,138.494716
243,SA,Orroroo/Carrieton (DC),1,-32.733558,138.613327
244,SA,Playford (C),35,-34.6666391,138.6589406
245,SA,Port Adelaide Enfield (C),22,-34.840461,138.56876
246,SA,Port Augusta (C),13,-32.4935661,137.7743496
247,SA,Port Lincoln (C),1,-34.7226381,135.8597449
248,SA,Port Pirie City and Dists (M),17,-33.1773841,138.0107628
249,SA,Prospect (C),4,-34.8882202,138.5941014
250,SA,Renmark Paringa (DC),5,-34.1492214,140.8872648
251,SA,Robe (DC),2,-37.2117032,139.9366899
